ZAMÓWIENIE NR: ZM_GLASS 0001/10/2025/???;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Dostawca:;;;;;;;;;;Odbiorca:;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;Telefon: ;;;;;;;;;;;;;;;;;;
;;;Fax: ;;;;;;;;;;Fax: ;;;;;;;;
;;;EMail:;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
33.1 (6,38mm) Float /8Ar Cr Cz/33.1 (6,38mm) Float;;;;;;;;;;;;33.1 (6,38mm) Float /8Ar Cr Cz/33.1 (6,38mm) Float;;;;;;;;Grubość:;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;20,8 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
;;;;;;;;;;;;;;;;;;;;56,8 mm;
;;;;;;;;;;;;;;;;;;;;;
L.p.;;Wymiary;;;Ilość;Powierzchnia [m2];;;Masa[kg] razem;;Cena;;;;;;Położenie szkła;;;;
;;;;;;;;;;;;;;;;;;;;;
;;Szerokość;;Wysokość;;Pojedyń.;Razem;;;;za m2;;;Za szt;;Razem;;;;;
33;;1478 mm;;1338 mm;1; 1,98; 1,98;; 104,83;; 400,00;;; 791,03;; 791,03;478-2025:10:7;;;;
34;;1478 mm;;2568 mm;1; 3,80; 3,80;; 201,19;; 400,00;;;1 518,20;;1 518,20;478-2025:10:4;;;;
35;;1978 mm;;1338 mm;1; 2,65; 2,65;; 140,29;; 400,00;;;1 058,63;;1 058,63;478-2025:10:8;;;;
36;;1384 mm;;1338 mm;1; 1,85; 1,85;; 98,16;; 400,00;;; 740,72;; 740,72;478-2025:11:5;;;;
37;;1478 mm;;1338 mm;2; 1,98; 3,96;; 209,65;; 400,00;;; 791,03;;1 582,05;478-2025:11:6;;;;
38;;1478 mm;;2568 mm;2; 3,80; 7,59;; 402,38;; 400,00;;;1 518,20;;3 036,40;478-2025:11:3;;;;
39;;1978 mm;;1338 mm;1; 2,65; 2,65;; 140,29;; 400,00;;;1 058,63;;1 058,63;478-2025:11:7;;;;
40;;1384 mm;;1338 mm;4; 1,85; 7,41;; 392,63;; 400,00;;; 740,72;;2 962,87;478-2025:14:5;;;;
41;;1478 mm;;1338 mm;8; 1,98; 15,82;; 838,60;; 400,00;;; 791,03;;6 328,20;478-2025:14:6;;;;
42;;1478 mm;;2568 mm;8; 3,80; 30,36;;1 609,51;; 400,00;;;1 518,20;;12 145,61;478-2025:14:3;;;;
43;;1978 mm;;1338 mm;4; 2,65; 10,59;; 561,15;; 400,00;;;1 058,63;;4 234,50;478-2025:14:7;;;;
44;;1384 mm;;1338 mm;1; 1,85; 1,85;; 98,16;; 400,00;;; 740,72;; 740,72;478-2025:18:4;;;;
45;;1384 mm;;1338 mm;4; 1,85; 7,41;; 392,63;; 400,00;;; 740,72;;2 962,87;478-2025:19:7;;;;
46;;1478 mm;;1338 mm;12; 1,98; 23,73;;1 257,90;; 400,00;;; 791,03;;9 492,31;478-2025:19:5;;;;
47;;1478 mm;;2568 mm;12; 3,80; 45,55;;2 414,27;; 400,00;;;1 518,20;;18 218,42;478-2025:19:2;;;;
